08:00|"Philip Lombard had the habit of waking at daybreak. He did so on this particular morning. He raised himself on an elbow and listened. The wind had somewhat abated but was still blowing. He could hear no sound of rain…
At <b>eight o’clock</b> the wind was blowing more strongly, but Lombard did not hear it. He was asleep again."|And Then There Were None|Agatha Christie
08:00|“No, no, it’s not the toilet, it’s the Potter boy’s hearing - they’ve changed the time and the venue - it starts at <b>eight o’clock</b> now and it’s down in old Courtroom Ten -”|Harry Potter and the Order of the Phoenix|J.K. Rowling
08:00|The boys' loud laughter turned into groans, however, when he coldly informed them they would have school all afternoon that day instead of the usual <b>8:00</b> to 11:30.|Bright Valley of Love|Edna Hong
08:00|"School had started at <b>eight o'clock</b> and Gunther was late. Mr. Kunze, the teacher, greeted him briefly with ""Aha, a new bird!"" and motioned the brother to wheel his chair over by the window nearest to him."|Bright Valley of Love|Edna Hong
08:00|His landlady’s cook, who always brought him his breakfast at <b>eight o’clock</b>, failed to appear on this occasion. That had never happened before.|The Trial|Franz Kafka
08:00|Tom Tooney devours his fettucini alfredo with a napkin tucked into the collar of his shirt, eating and slurping with abandon, and follows it up with a mixed-nut panna cotta. Holly has an antipasto and refuses dessert, settling for a cup of decaf (she eschews caffeine after <b>8 A.M.</b>).|If It Bleeds|Stephen King
08:00|With no expectation of pleasure, but with the strongest curiosity, Elizabeth opened the letter, and, to her still increasing wonder, perceived an envelope containing two sheets of letter paper, written quite through, in a very close hand. The envelope itself was likewise full. Pursuing her way along the lane, she then began it. It was dated from Rosings, at <b>eight o’clock in the morning</b>, and was as follows:|Pride and Prejudice|Jane Austen
08:00|"The jungle river became narrower. The banks closed in on both sides until the trees and foliage overhanging the banks met high above to block out the sun. Tim heard the cry of birds, and saw small chirping dinosaurs leaping among the branches. But mostly it was silent, the air hot and still beneath the canopy of trees.
Grant looked at his watch. It was <b>eight o’clock</b>."|Jurassic Park|Michael Crichton
08:00|He sat in front of the consoles and gulped another cup of coffee. All around him, the control room was strewn with paper plates and half-eaten sandwiches. Arnold was exhausted. It was <b>8:00 A.M.</b> on Saturday.|Jurassic Park|Michael Crichton
08:00|"“My fiddle would be the better for new strings,” he remarked. “Put your pistol in your pocket. When the fellow comes, speak to him in an ordinary way. Leave the rest to me. Don’t frighten him by looking at him too hard.”
“It is <b>eight o’clock</b> now,” I said, glancing at my watch."|A Study in Scarlet|Sir Arthur Conan Doyle
08:00|"The mother nodded. She didn’t seem able to get out a word. The daughter burst into tears. I felt more than ever that these people knew something of the matter.
“At what o’clock did Mr. Drebber leave your house for the train?” I asked.
“At <b>eight o’clock</b>,” she said, gulping in her throat to keep down her agitation."|A Study in Scarlet|Sir Arthur Conan Doyle
08:00|When the owner’s meal was ready at <b>eight o’clock</b>, she pushed the room service cart into the elevator and rode up to the sixth floor. It was the standard meal for him: a half bottle of red wine with the cork loosened, a thermal pot of coffee, a chicken entrée with steamed vegetables, rolls and butter. The heavy aroma of cooked chicken quickly filled the little elevator. It mingled with the smell of rain.|Blind Willow, Sleeping Woman|Haruki Murakami
08:00|Going down the Rue des Dames I bump into Peckover, another poor devil who works on the paper. He complains of getting only three or four hours’ sleep a night—has to get up at <b>eight in the morning</b> to work at a dentist’s office. It isn’t for the money he’s doing it, so he explains—it’s for to buy himself a set of false teeth.|Tropic of Cancer|Henry Miller
08:00|"I felt my head get heavy. Harrison Ford was my dream man. My heart slowed, but still, I couldn’t sleep. I drank from the jug of gin. It seemed to settle my stomach.
At <b>eight A.M.</b>, I called Trevor again. This time he didn’t answer.
“Just checking in,” I said in my message. “It’s been a while. Curious how you’ve been and what you’ve been up to. Let’s catch up soon.”"|My Year of Rest and Relaxation|Ottessa Moshfegh
08:00|"The creature stuck her booty into a little burglar’s bag. “No more valuables to be taken care of?”
“Put those items back! Now! Or I’ll have your job, I swear it!”
“I’ll take that as a no. Breakfast is <b>eight 𝘴𝘩𝘢𝘳𝘱</b>. Boiled eggs with toast soldiers today. None for the tardy.”"|Cloud Atlas|David Mitchell
08:00|Last night I left a letter under the manager’s day-office door—he’ll find it at <b>eight A.M.</b> tomorrow—informing him of the change in my existential status, so with luck an innocent chambermaid will be spared an unpleasant surprise. See, I do think of the little people.|Cloud Atlas|David Mitchell
08:00|This morning I plain don’t remember. They got enough of those things they call pills down me so I don’t know a thing till I hear the ward door open. That ward door opening means it’s at least <b>eight o’clock</b>, means there’s been maybe an hour and a half I was out cold in that Seclusion Room when the technicians could of come in and installed anything the Big Nurse ordered and I wouldn’t have the slightest notion what.|One Flew Over the Cuckoo’s Nest|Ken Kesey
