07:00|seven|Moist groaned. It was the crack of seven and he was allergic to the concept of two seven o’clocks in one day.|Raising Steam|Terry Pratchett
07:00|seven o’clock|By the time the sun peered over the hills east of Rome, the city was a raucous symphony of clattering carts, hammer blows, and screaming babies. Some in the leisure class allowed themselves the luxury of slumbering on till seven o’clock, but only those who had wined to excess would rise any later.|Pontius Pilate|Paul L. Maier
07:00|seven|"And we on for a video chat tonight? I mean, in the morning? Your morning? Charlie asked.<br/>""Yeah, do you have a time in mind so I can be sure to be up and showered first?""<br/>""Sure you can't video chat from the shower?"" he asked.<br/>""Not so much. No.""<br/>""Then I guess I'll settle for seven."""|Soldier On|Vanessa Rasanen
07:00|seven o’clock|It was about seven o’clock and so still I felt that, if someone had spoken a mile away, I could have answered him.|A Month in the Country|J.L. Carr
07:00|seven|At seven the next morning the telephone rang. <br>Slowly I swam up from the bottom of a black sleep. I already had a telegram from Jay Cee stuck in my mirror, telling me not to bother to come in to work but to rest for a day and get completely well, and how sorry she was about the bad crabmeat, so I couldn’t imagine who would be calling.|The Bell Jar|Sylvia Plath
07:00|seven o’clock|Anne made her way across the dooryard, trailing a steadying hand along the side of Bobbi’s truck. When she had passed the truck, she reached at once for the porch railing. She looked up, and in the slanting light of seven o’clock, Gardener thought the woman looked both aged and ageless.|The Tommyknockers|Stephen King
07:00|seven o’clock in the morning|Grant immediately understood the advantages. It was now seven o’clock in the morning. They had at least eight miles to go. If they could take a raft along the river, they would make much faster progress than going overland.|Jurassic Park|Michael Crichton
07:00|seven in the morning|Through September and right into October, the North Carolina skies were clear and the air was warm even at seven in the morning, when I left my second-floor apartment by the outside stairs. If I started with a light jacket on, I was wearing it tied around my waist before I’d finished half of the three miles between the town and the amusement park.|Joyland|Stephen King
07:00|seven AM|The call was early: seven AM, two hours before the park opened its doors on another summer. The three of us walked down the beach together. Tom talked most of the way. He always talked. It would have been wearisome if he hadn’t been so amusing and relentlessly cheerful.|Joyland|Stephen King
07:00|seven A.M.|Thirty-seven times my mother and I woke up together, bleary and exhausted at seven A.M., tried to get up, but fell back into bed and slept on while cartoons flashed from the small television on her bedside table.|My Year of Rest and Relaxation|Ottessa Moshfegh
07:00|seven o’clock|In his hotel room at the Bon Voyage, Dr. Rufus Sixsmith reads a sheaf of letters written to him nearly half a century ago by his friend Robert Frobisher. Sixsmith knows them by heart, but their texture, rustle, and his friend’s faded handwriting calm his nerves. These letters are what he would save from a burning building. At seven o’clock precisely, he washes, changes his shirt, and sandwiches the nine read letters in the Gideon’s Bible—this he replaces in the bedside cabinet. Sixsmith slips the unread letters into his jacket pocket for the restaurant.|Cloud Atlas|David Mitchell
07:00|seven a.m.|This morning everything is clean; the storm has left branches strewn around the yard, which I will presently go out and pick up: all the beach’s sand has been redistributed and laid down fresh in an even blanket pocked with impressions of rain, and the daylilies bend and glisten in the white seven a.m. light.|The Time Traveler’s Wife|Audrey Niffenegger
07:00|7:00 A.M.|By 7:00 A.M., the coastline of Malibu was engulfed in flames. Because, just as it is in Malibu’s nature to burn, so was it in one particular person’s nature to set fire and walk away.|Malibu Rising|Taylor Jenkins Reid
07:00|7 a.m.|“Which means we finish around 7 a.m.,” she added. “Still enough time to get to work.”<br/>I was surprised. “Work?”<br/>“You must work tomorrow, yes?”<br/>“I figured I’d write the day off.”<br/>“Then you do not need to worry.”|The Catacombs|Jeremy Bates
07:00|Seven o’clock|Seven o’clock the mess hall opens and the order of line-up reverses: the Wheelers first, then the Walkers, then Acutes pick up trays, corn flakes, bacon and eggs, toast—and this morning a canned peach on a piece of green, torn lettuce.|One Flew Over the Cuckoo’s Nest|Ken Kesey
07:00|seven|“What? No. I mean, yeah, that’s when we have to be in the lot, but there’s a bunch of stuff before, you know, costumes, makeup, all that. I usually get there at seven. I can’t believe nobody told you any of this.”|Reprieve|James Han Mattson
