09:47|9:47 A.M.|He left the hotel at 9:47 A.M. at his usual brisk pace “Action stations.”<br/> Stephen and Robin snapped out of their daydreaming.|Not a Penny More, Not a Penny Less|Jeffrey Archer
09:47|9:47|“She’s dead,” he confirmed. “It must have been very sudden and with the minimum of pain.” He checked his watch; the time was 9:47. He covered his patient with a blanket and called for an ambulance.|Old Love|Jeffrey Archer
09:47|9:47 a.m.|The timing of the Lord Chancellor’s entrance and exit from the North Tower of the Palace of Westminster would have impressed a regimental sergeant major. At 9:47 a.m. there was a knock on the door and his secretary, David Bartholomew, entered the room.|Best Kept Secret|Jeffrey Archer
09:47|nine forty-seven|"Right. . . nine forty-seven and nine forty-eight. They died at the same time.<br/>""That's not the same time, Harry.""<br/>I waved a hand, impatient."|Blood Rites|Jim Butcher
09:47|09:47|When I’m hungry again I check Watch but he only says 09:47. Cartoons are over so I watch football and the planet where people win prizes.|Room|Emma Donoghue
09:47|9:47|Finally at 9:47, the call came. Elaine answered, listened for a second, then silently handed me the receiver. “I want you to be my Secretary of State.”|Madam Secretary|Madeleine Albright
09:47|9:47 a.m.|9:47 a.m. Or gone to Las Vegas and got married.|Bridget Jones's Diary|Helen Fielding
09:47|9.47 in the morning|Normally I would have been at school at 9.47 in the morning, but I had a doctors appointment with an ear, nose and throat specialist, who was going to tell me why I suffered so many sinus infections.|When You Are Mine|Michael Robotham
09:47|9:47 a.m.|9:47 a.m. (35 minutes captive)<br/>1 lighter, 3 bottles of vodka, 1 pair of scissors, no plan.|The Girls I've Been|Tess Sharpe
09:47|9:47|At 9:47 the next morning, the Tamarack County Sheriff's Department received a call. Cork and McDougal were the first to arrive on the scene.|Corpus Delicti|William Kent Krueger
09:47|thirteen minutes to ten|For Hunter, who was trained to note times exactly, the final emergency started at thirteen minutes to ten.|Elegy for a Revolutionary|C.J. Driver
